#query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
HANIFL_00945,176280.SE_1194,3.23E-223,616,"COG4129@1|root,COG4129@2|Bacteria,1TP2T@1239|Firmicutes,4HAWV@91061|Bacilli,4GX6R@90964|Staphylococcaceae",91061|Bacilli,S,Putative aromatic acid exporter C-terminal domain,yqjA,-,-,-,-,-,-,-,-,-,-,-,"ArAE_1,ArAE_1_C"
HANIFL_00950,176280.SE_1193,5.94E-262,718,"COG2195@1|root,COG2195@2|Bacteria,1TP3A@1239|Firmicutes,4HA04@91061|Bacilli,4GX57@90964|Staphylococcaceae",91061|Bacilli,E,Peptidase T-like protein,yqjE,-,"3.4.11.14,3.4.11.4","ko:K01258,ko:K01263",-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,"M20_dimer,Peptidase_M20,Peptidase_M28"
HANIFL_00955,176279.SERP1071,0,926,"COG0362@1|root,COG0362@2|Bacteria,1TP4I@1239|Firmicutes,4H9NC@91061|Bacilli,4GXWE@90964|Staphylococcaceae",91061|Bacilli,G,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH",gnd,-,"1.1.1.343,1.1.1.44",ko:K00033,"ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,map00030,map00480,map01100,map01110,map01120,map01130,map01200","M00004,M00006","R01528,R10221","RC00001,RC00539","ko00000,ko00001,ko00002,ko01000",-,-,-,"6PGD,NAD_binding_2"
HANIFL_00960,176279.SERP1070,0,1162,"COG0366@1|root,COG0366@2|Bacteria,1TP53@1239|Firmicutes,4HA1G@91061|Bacilli,4GWZH@90964|Staphylococcaceae",91061|Bacilli,G,Alpha-amylase domain,yugT,-,3.2.1.20,ko:K01187,"ko00052,ko00500,ko01100,map00052,map00500,map01100",-,"R00028,R00801,R00802,R06087,R06088","RC00028,RC00049,RC00077","ko00000,ko00001,ko01000",-,GH31,iSB619.SA_RS07580,"Alpha-amylase,Malt_amylase_C"
HANIFL_00965,176279.SERP1069,1.87E-215,594,"COG2207@1|root,COG3708@1|root,COG2207@2|Bacteria,COG3708@2|Bacteria,1V3DY@1239|Firmicutes,4HFZA@91061|Bacilli,4GY36@90964|Staphylococcaceae",91061|Bacilli,K,Transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,-,"Cass2,HTH_18"
HANIFL_00970,176279.SERP1067,0,996,"COG0364@1|root,COG0364@2|Bacteria,1TPYF@1239|Firmicutes,4HA73@91061|Bacilli,4GWWT@90964|Staphylococcaceae",91061|Bacilli,G,Catalyzes the oxidation of glucose 6-phosphate to 6- phosphogluconolactone,zwf,-,"1.1.1.363,1.1.1.49",ko:K00036,"ko00030,ko00480,ko01100,ko01110,ko01120,ko01130,ko01200,ko05230,map00030,map00480,map01100,map01110,map01120,map01130,map01200,map05230","M00004,M00006,M00008","R00835,R02736,R10907","RC00001,RC00066","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"G6PD_C,G6PD_N"
HANIFL_00975,176279.SERP1066,3.27E-227,625,"COG1234@1|root,COG1234@2|Bacteria,1TRGP@1239|Firmicutes,4HABM@91061|Bacilli,4GX9Q@90964|Staphylococcaceae",91061|Bacilli,J,"Zinc phosphodiesterase, which displays some tRNA 3'- processing endonuclease activity. Probably involved in tRNA maturation, by removing a 3'-trailer from precursor tRNA",rnz,"GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0006139,GO:0006396,GO:0006399,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0031123,GO:0034414,GO:0034470,GO:0034641,GO:0034660,GO:0042779,GO:0042780,GO:0042781,GO:0043170,GO:0043628,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1905267",3.1.26.11,ko:K00784,"ko03013,map03013",-,-,-,"ko00000,ko00001,ko01000,ko03016",-,-,-,"Lactamase_B,Lactamase_B_2"
HANIFL_00980,176279.SERP1065,4.85E-191,530,"COG0345@1|root,COG0345@2|Bacteria,1TP1E@1239|Firmicutes,4H9RV@91061|Bacilli,4GWW6@90964|Staphylococcaceae",91061|Bacilli,E,Catalyzes the reduction of 1-pyrroline-5-carboxylate (PCA) to L-proline,proC,-,1.5.1.2,ko:K00286,"ko00330,ko01100,ko01110,ko01130,ko01230,map00330,map01100,map01110,map01130,map01230",M00015,"R01248,R01251,R03291,R03293","RC00054,RC00083","ko00000,ko00001,ko00002,ko01000",-,-,iYO844.BSU18480,"F420_oxidored,P5CR_dimer"
HANIFL_00985,176279.SERP1064,1.29E-181,505,"COG0300@1|root,COG0300@2|Bacteria,1TSJ3@1239|Firmicutes,4HHJG@91061|Bacilli,4GXTW@90964|Staphylococcaceae",91061|Bacilli,S,KR domain,XK27_05435,-,-,ko:K07124,-,-,-,-,ko00000,-,-,-,adh_short
HANIFL_00990,176279.SERP1063,9.24E-216,595,"COG0667@1|root,COG0667@2|Bacteria,1TTT8@1239|Firmicutes,4H9XM@91061|Bacilli,4GXD9@90964|Staphylococcaceae",91061|Bacilli,C,aldo keto reductase,yqkF,-,-,-,-,-,-,-,-,-,-,-,Aldo_ket_red
HANIFL_00995,176279.SERP1062,2.13E-124,354,"COG0494@1|root,COG0494@2|Bacteria,1V6F5@1239|Firmicutes,4HII9@91061|Bacilli,4GXC9@90964|Staphylococcaceae",91061|Bacilli,L,Belongs to the Nudix hydrolase family,nudF,-,3.6.1.13,ko:K01515,"ko00230,map00230",-,R01054,RC00002,"ko00000,ko00001,ko01000",-,-,"iSB619.SA_RS07540,iYO844.BSU23610",NUDIX
HANIFL_01000,176279.SERP1061,4.38E-102,295,"COG0735@1|root,COG0735@2|Bacteria,1V7F0@1239|Firmicutes,4HH78@91061|Bacilli,4GY5K@90964|Staphylococcaceae",91061|Bacilli,P,Belongs to the Fur family,fur,"GO:0000976,GO:0001067,GO:0001130,GO:0001217,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032991,GO:0032993,GO:0043565,GO:0044212,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1902679,GO:1903506,GO:1903507,GO:1990837,GO:2000112,GO:2000113,GO:2001141",-,ko:K03711,-,-,-,-,"ko00000,ko03000",-,-,-,FUR
HANIFL_01005,176279.SERP1060,2.98E-213,588,"COG4974@1|root,COG4974@2|Bacteria,1TQRG@1239|Firmicutes,4HAEX@91061|Bacilli,4GX18@90964|Staphylococcaceae",91061|Bacilli,D,"Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules. The XerC-XerD complex is essential to convert dimers of the bacterial chromosome into monomers to permit their segregation at cell division. It also contributes to the segregational stability of plasmids",xerD,-,-,ko:K04763,-,-,-,-,"ko00000,ko03036",-,-,-,"Phage_int_SAM_1,Phage_integrase"
HANIFL_01010,176279.SERP1059,4.63E-117,335,"COG1547@1|root,COG1547@2|Bacteria,1VG9V@1239|Firmicutes,4HNQI@91061|Bacilli,4GZIM@90964|Staphylococcaceae",91061|Bacilli,S,Domain of unknown function (DUF309),-,-,-,ko:K09763,-,-,-,-,ko00000,-,-,-,DUF309
HANIFL_01015,176279.SERP1058,6.83E-168,469,"COG1354@1|root,COG1354@2|Bacteria,1TRW3@1239|Firmicutes,4HA6Q@91061|Bacilli,4GXJW@90964|Staphylococcaceae",91061|Bacilli,D,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpB that pull DNA away from mid-cell into both cell halves,scpA,"GO:0003674,GO:0005488,GO:0005515,GO:0042802",-,ko:K05896,-,-,-,-,"ko00000,ko03036",-,-,-,SMC_ScpA
HANIFL_01020,176279.SERP1057,1.18E-121,347,"COG1386@1|root,COG1386@2|Bacteria,1VBJ3@1239|Firmicutes,4HKXD@91061|Bacilli,4GYCM@90964|Staphylococcaceae",91061|Bacilli,D,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves,scpB,-,-,ko:K06024,-,-,-,-,"ko00000,ko03036",-,-,-,SMC_ScpB
HANIFL_01025,176279.SERP1056,4.12E-170,475,"COG1187@1|root,COG1187@2|Bacteria,1TP68@1239|Firmicutes,4H9MU@91061|Bacilli,4GX7A@90964|Staphylococcaceae",91061|Bacilli,J,Belongs to the pseudouridine synthase RsuA family,rluB,-,5.4.99.22,ko:K06178,-,-,-,-,"ko00000,ko01000,ko03009",-,-,-,"PseudoU_synth_2,S4"
HANIFL_01030,176279.SERP1055,1.56E-172,481,"COG0745@1|root,COG0745@2|Bacteria,1TPZ0@1239|Firmicutes,4HA7D@91061|Bacilli,4GYC7@90964|Staphylococcaceae",91061|Bacilli,T,COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,resD,-,-,ko:K07775,"ko02020,map02020",M00458,-,-,"ko00000,ko00001,ko00002,ko02022",-,-,-,"Response_reg,Trans_reg_C"
HANIFL_01035,176279.SERP1054,0,1105,"COG5002@1|root,COG5002@2|Bacteria,1TQ1H@1239|Firmicutes,4HBZ0@91061|Bacilli,4GX1A@90964|Staphylococcaceae",91061|Bacilli,T,Histidine kinase,resE,-,2.7.13.3,ko:K07651,"ko02020,map02020",M00458,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"HAMP,HATPase_c,HisKA,PAS,PAS_4"
HANIFL_01040,176279.SERP1053,7.33E-111,320,"COG3601@1|root,COG3601@2|Bacteria,1V4BW@1239|Firmicutes,4HHFT@91061|Bacilli,4GZ1G@90964|Staphylococcaceae",91061|Bacilli,U,"Mediates riboflavin uptake, may also transport FMN and roseoflavin. Probably a riboflavin-binding protein that interacts with the energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates. The substrates themselves are bound by transmembrane, not extracytoplasmic soluble proteins",ribU,"GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0006855,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015238,GO:0015711,GO:0015893,GO:0016020,GO:0022857,GO:0032217,GO:0032218,GO:0034220,GO:0035461,GO:0042221,GO:0042493,GO:0044464,GO:0050896,GO:0051179,GO:0051180,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0090482,GO:0098656",-,-,-,-,-,-,-,-,-,-,ECF_trnsprt
HANIFL_01045,176279.SERP1051,6.88E-54,168,"COG1141@1|root,COG1141@2|Bacteria,1VAC2@1239|Firmicutes,4HKG7@91061|Bacilli,4GZPA@90964|Staphylococcaceae",91061|Bacilli,C,Ferredoxin,fer,-,-,ko:K05337,-,-,-,-,ko00000,-,-,-,Fer4_13
HANIFL_01050,176280.SE_1171,4.82E-227,625,"COG4955@1|root,COG4955@2|Bacteria,1U29N@1239|Firmicutes,4IBUD@91061|Bacilli,4GXGW@90964|Staphylococcaceae",91061|Bacilli,S,Helix-turn-helix domain,-,-,-,-,-,-,-,-,-,-,-,-,HTH_40
HANIFL_01055,176279.SERP1049,0,927,"COG0514@1|root,COG0514@2|Bacteria,1TPN5@1239|Firmicutes,4H9QP@91061|Bacilli,4GX72@90964|Staphylococcaceae",91061|Bacilli,L,DNA helicase,recQ,"GO:0003674,GO:0003676,GO:0003677,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005694,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009295,GO:0009378,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032392,GO:0032508,GO:0033554,GO:0034641,GO:0042623,GO:0043138,GO:0043140,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0140097,GO:1901360,GO:1901363",3.6.4.12,ko:K03654,"ko03018,map03018",-,-,-,"ko00000,ko00001,ko01000,ko03400",-,-,-,"DEAD,Helicase_C,RecQ_Zn_bind"
HANIFL_01060,176280.SE_1169,2.80E-145,431,"COG1388@1|root,COG1388@2|Bacteria,1V9WN@1239|Firmicutes,4HJ3S@91061|Bacilli,4GXIQ@90964|Staphylococcaceae",91061|Bacilli,M,Lysin motif,ebpS,-,-,-,-,-,-,-,-,-,-,-,LysM
HANIFL_01065,176279.SERP1047,1.53E-243,668,"COG0492@1|root,COG0492@2|Bacteria,1TQGS@1239|Firmicutes,4HBIS@91061|Bacilli,4GY38@90964|Staphylococcaceae",91061|Bacilli,C,Thioredoxin reductase,ypdA,-,1.8.1.9,ko:K00384,"ko00450,map00450",-,"R02016,R03596,R09372","RC00013,RC02518,RC02873","ko00000,ko00001,ko01000",-,-,-,Pyr_redox_3
HANIFL_01070,176279.SERP1046,7.15E-230,633,"COG0252@1|root,COG0252@2|Bacteria,1TPP9@1239|Firmicutes,4H9YJ@91061|Bacilli,4GWW2@90964|Staphylococcaceae",91061|Bacilli,EJ,L-asparaginase,ansB,-,3.5.1.1,ko:K01424,"ko00250,ko00460,ko01100,ko01110,map00250,map00460,map01100,map01110",-,R00485,"RC00010,RC02798","ko00000,ko00001,ko01000",-,-,-,Asparaginase
HANIFL_01075,176279.SERP1045,4.64E-143,404,"COG0283@1|root,COG0283@2|Bacteria,1V3IA@1239|Firmicutes,4HFZE@91061|Bacilli,4GX62@90964|Staphylococcaceae",91061|Bacilli,F,Belongs to the cytidylate kinase family. Type 1 subfamily,cmk,"GO:0003674,GO:0003824,GO:0004127,GO:0004592,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006520,GO:0006573,GO:0006575,GO:0006725,GO:0006732,GO:0006753,GO:0006766,GO:0006767,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009081,GO:0009108,GO:0009110,GO:0009117,GO:0009123,GO:0009165,GO:0009987,GO:0015939,GO:0015940,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0016874,GO:0016879,GO:0016881,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019752,GO:0032787,GO:0033317,GO:0034641,GO:0034654,GO:0042364,GO:0042398,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046939,GO:0046940,GO:0050145,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0072330,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605",2.7.4.25,ko:K00945,"ko00240,ko01100,map00240,map01100",M00052,"R00158,R00512,R01665",RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,-,Cytidylate_kin
HANIFL_01080,176279.SERP1044,3.13E-273,748,"COG0539@1|root,COG0539@2|Bacteria,1TQ9N@1239|Firmicutes,4H9PX@91061|Bacilli,4GXFA@90964|Staphylococcaceae",91061|Bacilli,J,Ribosomal protein S1,rpsA,-,-,ko:K02945,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,S1
HANIFL_01085,176279.SERP1043,1.02e-314,857,"COG1160@1|root,COG1160@2|Bacteria,1TPNM@1239|Firmicutes,4HAJ6@91061|Bacilli,4GXI7@90964|Staphylococcaceae",91061|Bacilli,S,GTPase that plays an essential role in the late steps of ribosome biogenesis,der,-,-,ko:K03977,-,-,-,-,"ko00000,ko03009",-,-,-,"KH_dom-like,MMR_HSR1"
HANIFL_01090,176279.SERP1042,5.91E-234,644,"COG0240@1|root,COG0240@2|Bacteria,1TQ5P@1239|Firmicutes,4HAXW@91061|Bacilli,4GX9Z@90964|Staphylococcaceae",91061|Bacilli,I,Glycerol-3-phosphate dehydrogenase,gpsA,-,1.1.1.94,ko:K00057,"ko00564,ko01110,map00564,map01110",-,"R00842,R00844",RC00029,"ko00000,ko00001,ko01000",-,-,-,"NAD_Gly3P_dh_C,NAD_Gly3P_dh_N"
HANIFL_01095,1194526.A284_06315,8.94E-56,174,"COG0776@1|root,COG0776@2|Bacteria,1V9XQ@1239|Firmicutes,4HKF2@91061|Bacilli,4GZD2@90964|Staphylococcaceae",91061|Bacilli,L,"Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions",hup,-,-,ko:K03530,-,-,-,-,"ko00000,ko03032,ko03036,ko03400",-,-,-,Bac_DNA_binding
HANIFL_01100,176279.SERP1040,1.53E-132,376,"29IA9@1|root,3057C@2|Bacteria,1TXUA@1239|Firmicutes,4I6WN@91061|Bacilli,4GZA3@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,HEPPP_synt_1
HANIFL_01105,176279.SERP1039,1.90E-173,483,"COG0500@1|root,COG2226@2|Bacteria,1TQEA@1239|Firmicutes,4HAR9@91061|Bacilli,4GWXZ@90964|Staphylococcaceae",91061|Bacilli,H,Methyltransferase required for the conversion of demethylmenaquinol (DMKH2) to menaquinol (MKH2),menG,"GO:0003674,GO:0003824,GO:0006732,GO:0008150,GO:0008152,GO:0008168,GO:0009058,GO:0009108,GO:0009233,GO:0009234,GO:0009987,GO:0016740,GO:0016741,GO:0032259,GO:0042180,GO:0042181,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0051186,GO:0051188,GO:0071704,GO:1901576,GO:1901661,GO:1901663","2.1.1.163,2.1.1.201",ko:K03183,"ko00130,ko01100,ko01110,map00130,map01100,map01110","M00116,M00117","R04990,R04993,R06859,R08774,R09736","RC00003,RC01253,RC01662","ko00000,ko00001,ko00002,ko01000",-,-,-,Ubie_methyltran
HANIFL_01110,176279.SERP1038,1.17E-222,614,"COG0142@1|root,COG0142@2|Bacteria,1TR0U@1239|Firmicutes,4H9RH@91061|Bacilli,4GWVW@90964|Staphylococcaceae",91061|Bacilli,H,Belongs to the FPP GGPP synthase family,hepT,"GO:0003674,GO:0003824,GO:0006732,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009233,GO:0009234,GO:0009987,GO:0016740,GO:0016765,GO:0042180,GO:0042181,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0051186,GO:0051188,GO:0071704,GO:1901576,GO:1901661,GO:1901663","2.5.1.30,2.5.1.83","ko:K00805,ko:K21275","ko00900,ko01110,map00900,map01110",-,"R09245,R09247",RC00279,"ko00000,ko00001,ko01000,ko01006",-,-,-,polyprenyl_synt
HANIFL_01115,176279.SERP1037,1.31E-103,299,"COG0105@1|root,COG0105@2|Bacteria,1V44G@1239|Firmicutes,4HH8C@91061|Bacilli,4GYXP@90964|Staphylococcaceae",91061|Bacilli,F,"Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate",ndk,"GO:0003674,GO:0003824,GO:0004550,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006163,GO:0006165,GO:0006220,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009117,GO:0009132,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0019205,GO:0019637,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044464,GO:0046483,GO:0046939,GO:0055086,GO:0071704,GO:0072521,GO:0072527,GO:1901360,GO:1901564",2.7.4.6,ko:K00940,"ko00230,ko00240,ko00983,ko01100,ko01110,ko01130,ko04016,map00230,map00240,map00983,map01100,map01110,map01130,map04016","M00049,M00050,M00052,M00053","R00124,R00139,R00156,R00330,R00570,R00722,R01137,R01857,R02093,R02326,R02331,R03530,R11894,R11895",RC00002,"ko00000,ko00001,ko00002,ko01000,ko04131",-,-,-,NDK
HANIFL_01120,176279.SERP1036,6.39E-280,765,"COG0082@1|root,COG0082@2|Bacteria,1TQ40@1239|Firmicutes,4HA0H@91061|Bacilli,4GX81@90964|Staphylococcaceae",91061|Bacilli,E,"Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system",aroC,"GO:0000166,GO:0003674,GO:0003824,GO:0004107,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009423,GO:0009987,GO:0010181,GO:0016053,GO:0016829,GO:0016835,GO:0016838,GO:0019438,GO:0019752,GO:0032553,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576",4.2.3.5,ko:K01736,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00022,R01714,RC00586,"ko00000,ko00001,ko00002,ko01000",-,-,-,Chorismate_synt
HANIFL_01125,176279.SERP1035,6.91E-260,711,"COG0337@1|root,COG0337@2|Bacteria,1TPKZ@1239|Firmicutes,4HAKN@91061|Bacilli,4GXDK@90964|Staphylococcaceae",91061|Bacilli,E,Catalyzes the conversion of 3-deoxy-D-arabino- heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ),aroB,-,4.2.3.4,ko:K01735,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00022,R03083,RC00847,"ko00000,ko00001,ko00002,ko01000",-,-,-,DHQ_synthase
HANIFL_01130,176280.SE_1153,7.39e-311,847,"COG0128@1|root,COG0128@2|Bacteria,1TPIH@1239|Firmicutes,4HBHZ@91061|Bacilli,4GXRM@90964|Staphylococcaceae",91061|Bacilli,E,Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate,aroA,"GO:0003674,GO:0003824,GO:0003866,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016053,GO:0016740,GO:0016765,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0046394,GO:0046417,GO:0071704,GO:1901576",2.5.1.19,ko:K00800,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00022,R03460,RC00350,"ko00000,ko00001,ko00002,ko01000",-,-,-,EPSP_synthase
HANIFL_01135,176279.SERP1033,1.19E-295,807,"COG0457@1|root,COG0457@2|Bacteria,1TT97@1239|Firmicutes,4HAIA@91061|Bacilli,4GY9I@90964|Staphylococcaceae",91061|Bacilli,G,COG0457 FOG TPR repeat,XK27_05225,-,-,-,-,-,-,-,-,-,-,-,"TPR_16,TPR_19,TPR_2,TPR_6,TPR_7,TPR_8"
HANIFL_01140,176279.SERP1032,1.17E-129,368,"COG5582@1|root,COG5582@2|Bacteria,1V5KV@1239|Firmicutes,4I6UN@91061|Bacilli,4GZ1C@90964|Staphylococcaceae",91061|Bacilli,S,UPF0302 domain,-,-,-,-,-,-,-,-,-,-,-,-,"IDEAL,UPF0302"
HANIFL_01145,176279.SERP1031,8.51E-137,387,"COG4347@1|root,COG4347@2|Bacteria,1V1NI@1239|Firmicutes,4HFTW@91061|Bacilli,4GYSM@90964|Staphylococcaceae",91061|Bacilli,S,Protein of unknown function (DUF1405),ypjA,-,-,-,-,-,-,-,-,-,-,-,DUF1405
HANIFL_01150,176279.SERP1030,9.24E-151,425,"COG2738@1|root,COG2738@2|Bacteria,1TPD3@1239|Firmicutes,4HB8Z@91061|Bacilli,4GXCW@90964|Staphylococcaceae",91061|Bacilli,S,Putative neutral zinc metallopeptidase,yugP,-,-,ko:K06973,-,-,-,-,ko00000,-,-,-,Zn_peptidase_2
HANIFL_01155,176279.SERP1029,1.42E-68,207,"COG1694@1|root,COG1694@2|Bacteria,1V701@1239|Firmicutes,4HISK@91061|Bacilli,4GZER@90964|Staphylococcaceae",91061|Bacilli,S,MazG nucleotide pyrophosphohydrolase,ypjD,-,-,-,-,-,-,-,-,-,-,-,MazG
HANIFL_01160,176279.SERP1028,1.28E-275,753,"COG0438@1|root,COG0438@2|Bacteria,1TPS8@1239|Firmicutes,4HA43@91061|Bacilli,4GX3E@90964|Staphylococcaceae",91061|Bacilli,M,Glycosyl transferase 4-like,bshA,-,-,ko:K00754,-,-,-,-,"ko00000,ko01000",-,GT4,-,"Glyco_transf_4,Glycos_transf_1"
HANIFL_01165,176279.SERP1027,1.12E-286,783,"COG0617@1|root,COG0617@2|Bacteria,1TQ2A@1239|Firmicutes,4HB2W@91061|Bacilli,4GX1C@90964|Staphylococcaceae",91061|Bacilli,J,"Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate",cca,-,2.7.7.72,ko:K00974,"ko03013,map03013",-,"R09382,R09383,R09384,R09386",RC00078,"ko00000,ko00001,ko01000,ko03016",-,-,-,"PolyA_pol,PolyA_pol_RNAbd,tRNA_NucTran2_2"
HANIFL_01170,176279.SERP1026,1.58E-238,655,"COG0340@1|root,COG1654@1|root,COG0340@2|Bacteria,COG1654@2|Bacteria,1TQCU@1239|Firmicutes,4HB60@91061|Bacilli,4GWX0@90964|Staphylococcaceae",91061|Bacilli,K,Acts both as a biotin-- acetyl-CoA-carboxylase ligase and a repressor,birA,-,6.3.4.15,ko:K03524,"ko00780,ko01100,map00780,map01100",-,"R01074,R05145","RC00043,RC00070,RC00096,RC02896","ko00000,ko00001,ko01000,ko03000",-,-,-,"BPL_C,BPL_LplA_LipB,HTH_11"
