1AA1C_Z07_32_15YB_C832,1AA1N_Z07_74_15YB_G274,1AA3C_23YAS86,1AA3C_23YAS89,1AA3C_23YAS90,1AA3C_23YAS93,1AA3C_23YAS94,1AA4F_Z02_40_15YD_B440,1AA4F_Z03_94_16YA_A1094,1AA4K_Z02_81_15YD_E981,1AA4K_Z02_85_15YD_F185,1AA4K_Z02_88_15YD_F488,1AA4K_Z02_89_15YD_F589,1AA4N_Z02_71_15YD_D1171,1PA1K_28JA11,1PA1K_28JA17,1PA1K_28JA8,1PA1N_28JA36,1PA1N_28JB33,1PA1N_28JB60,1PA1N_28JB9,1PA2C_11JES51,1PA2C_11JES65,1PA2N_11JES24,1PA2N_11JES89,1PA4C_22YD91,1PA4F_22YD31,1PA4F_22YD37,1PA4F_22YD41,1PA4N_22YD54,1PB2F_Z08_47_24JA_D1147,1PB2F_Z08_49_24JA_E149,1PB2N_24JB27,1PB2N_Z08_44_24JA_D844,1PB3C_23YAC20,1PB3C_8YDS67,1PB3C_8YDS76,1PB3C_8YDS80,1PB3C_8YDS88,1PB3C_8YDS92,1PB3C_8YDS93,1PB3F_Z02_11_15YC_A1111,1PB3F_Z02_13_15YC_B113,1PB3F_Z02_3_15YC_A33,1PB3N_8YDS52,2AA1C_28JA46,2AA1C_28JA47,2AA1C_28JA61,2AA1C_28JA67,2AA3C_23YBC2,2AA3C_9YD74,2AA3C_9YD76,2AA3F_23YBC48,2AA3K_23YBC15,2AA3K_9YD62,2AA3N_8YCS7,2PA1C_11JCS80,2PA1C_11JCS83,2PA3C_15YE37,2PA3C_15YE41,2PA3C_15YE51,2PA3C_15YE61,2PA3C_15YE81,2PA3C_15YE82,2PA3N_15YE35,2PA3N_Z05_63_16YB_H763,2PB1C_Z08_6_24JA_A66,2PB1F_Z08_17_24JA_B517,2PB1K_Z08_8_24JA_A88,2PB1N_24JB79,2PB1N_24JB86,2PB1N_24JB88,2PB1N_24JB91,3AB2K_11JDS35,4AA1F_X1337,4AA1F_X1346,4AA1F_X1348,4AA1F_X1349,4AA1F_X1479,4AA1N_X1625,4AA1N_X1628,4AB1K_X1657,4AB1N_X1385,4AB1N_X1413,5AA3C_Z01_65_9YE_A565,5AA3C_Z01_75_9YE_B375,5AB3F_Z08_28_24JA_C428,5PA1C_11JBS66,5PA1C_11JBS88,5PA1C_11JBS92,5PA1C_11JBS94,5PA1C_11JBS95,5PA1F_11JBS16,5PA1F_11JBS18,5PA1F_11JBS3,5PA1N_11JBS56,5PA1N_11JBS61,5PB3C_22YC81,5PB3C_22YC83,5PB3C_22YC85,5PB3C_22YC90,5PB3F_22YC16,5PB3K_24YB54,5PB3K_24YB64,5PB3N_22YC31,7AA1C_28JC11,7AA1C_28JC2,7AA1C_28JC6,7AA1C_X1493,7AA1F_28JC33,7AA1F_28JC36,7AA1N_28JC39,7AA4C_23YAC39,7AA4C_9YB71,7AA4C_9YB82,7AA4C_Z07_48_8YBS_F1248,7AA4F_Z04_59_8YBS_A259,7AA4N_Z04_67_8YBS_C767,7AB4C_22YB68,7AB4N_22YB3,7AB4N_22YB4,7PA1C_28JC68,7PA1C_28JC84,7PA1F_28JC58,7PA1F_28JC59,7PA1K_28JC60,7PA1K_28JC61,7PA1K_28JC65,7PB4C_Z08_86_15YA_H286,8AA4C_22YB37,8AA4F_24YC6,8AA4K_22YB76,8AA4K_24YC42,8AA4K_Z06_17_16YD_C517,8AB1C_25YH90,8AB1F_25YH17,8AB1F_25YH4,8AB1K_25YH62,8AB1K_25YH71,8AB3K_24YA57,8AB4C_23YAS12,8AB4C_23YAS16,8AB4C_23YAS51,8AB4C_25YA77,8AB4F_25YA19,8AB4N_23YAS25,8AC1C_25YC8,8AC1N_25YC3,8AC4C_8YAS89,8AC4K_9YC54,8AC4K_Z03_15_23YCC_D315,8AC4N_23YBC88,8PA3K_25YE63,8PB1C_25YC36,8PB1C_25YC52,8PB1C_25YC53,8PB1K_25YC40,8PB3F_23YCS6,8PB4N_25YD28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.315941,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.054672,99.266632,96.77597,99.343307,96.82386,98.025986,99.202499,99.266922,99.243034,99.982147,99.237305,99.28093,97.950584,99.384644,79.557159,97.659645,79.486862,99.245041,97.972778,99.298218,97.977379,79.851486,99.298447,99.331223,99.308792,99.45929,96.852417,99.207214,99.266968,99.254715,97.969482,97.671844,99.221283,98.091042,99.360565,99.081024,99.123642,99.351753,99.378044,99.3339,99.971252,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.10968,99.942917,96.797333,99.474594,96.796654,98.086578,99.327957,99.756187,99.255356,99.28688,99.714447,99.406548,98.045647,99.489548,79.721375,97.607735,79.766541,99.917465,98.018692,99.203171,98.101913,80.093872,99.781113,99.753082,99.781342,99.416557,96.853798,99.627792,99.939957,99.665665,98.014748,97.615219,99.426918,98.127373,99.383179,99.275192,99.255524,99.359619,99.384453,99.368629,99.23877,0,0,0,99.217056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.216194,99.298386,96.809219,99.33889,96.845184,98.172295,99.453735,99.33252,99.426682,99.328827,99.328407,99.535202,98.091553,99.421127,79.801163,97.687531,79.832718,99.312454,98.134476,99.291977,98.132294,80.008553,99.365395,99.365463,99.334808,99.231491,96.842392,99.356171,99.322876,99.329346,98.052383,97.657387,99.406029,98.098282,99.402451,99.360504,99.301193,99.388962,99.377533,99.347275,99.317703,0,0,0,99.27713,99.423248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.105789,99.229668,96.829346,99.301582,96.827095,98.108566,99.420425,99.299255,99.287766,99.269386,99.302856,99.482361,98.033722,99.32991,79.818863,97.619545,79.957245,99.22261,98.090469,99.266022,98.111404,80.171799,99.332748,99.326736,99.30687,99.216286,96.826569,99.315445,99.160126,99.255615,98.008217,97.662285,99.395363,98.071449,99.27507,99.220657,99.229576,99.225769,99.27446,99.216949,99.304535,0,0,0,99.28685,99.400269,99.980347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.202133,99.2742,96.917725,99.26268,96.998276,98.156776,99.565834,99.224144,99.506142,99.313324,99.305649,99.595627,98.162216,99.320312,79.720062,97.683624,79.745323,99.328979,98.199875,99.301712,98.137573,79.95459,99.332245,99.326462,99.33725,99.273727,96.986465,99.329926,99.280922,99.315964,98.133026,97.673798,99.3694,98.131042,99.289352,99.274773,99.23877,99.303207,99.270973,99.262146,99.260963,0,0,0,99.235901,99.371078,99.422165,99.437561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.148376,99.919708,96.794266,99.463623,96.815498,98.145805,99.342163,99.764572,99.303238,99.347412,99.717697,99.401367,97.996399,99.523941,79.650307,97.611023,79.671906,99.913345,98.041229,99.208054,98.099625,80.047256,99.798355,99.799072,99.795502,99.431503,96.842247,99.779037,99.920525,99.696304,98.011215,97.63916,99.39299,98.082214,99.392166,99.316208,99.26519,99.351677,99.400558,99.385231,99.304932,0,0,0,99.328156,99.942215,99.457794,99.396736,99.369659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.144348,99.909515,96.818527,99.451256,96.813263,98.132713,99.343307,99.731941,99.322441,99.335266,99.706398,99.421326,98.016876,99.493103,79.704742,97.614197,79.707886,99.919174,98.048035,99.175735,98.082047,80.017754,99.805511,99.795853,99.803314,99.386139,96.862312,99.774391,99.928497,99.690865,98.020035,97.627777,99.38623,98.092781,99.390587,99.284821,99.244011,99.380928,99.379944,99.374794,99.302643,0,0,0,99.29483,99.949844,99.440285,99.406349,99.39534,99.99202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.130066,99.290283,96.776489,99.284698,96.773697,98.05896,99.41185,99.356125,99.385681,99.275085,99.350266,99.507103,98.007561,99.314575,79.778488,97.638092,79.838882,99.273201,98.084351,99.246765,98.0569,80.095764,99.312927,99.28862,99.296082,99.129105,96.803604,99.306412,99.170029,99.22789,98.066589,97.63932,99.367737,98.066803,99.331787,99.248505,99.267395,99.33403,99.290009,99.322327,99.314377,0,0,0,99.280037,99.357246,99.983047,99.946976,99.416687,99.425926,99.396721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.166603,99.921478,96.828979,99.477524,96.848564,98.165329,99.444962,99.740982,99.367081,99.363831,99.747452,99.439941,98.101364,99.493591,79.708694,97.722908,79.729187,99.911987,98.110428,99.287872,98.084503,80.047836,99.846573,99.832817,99.835289,99.494995,96.84362,99.811867,99.954437,99.799255,98.053253,97.743469,99.418381,98.061394,99.397728,99.450844,99.400543,99.337509,99.392853,99.379555,99.312698,0,0,0,99.363045,99.985435,99.446938,99.453598,99.401497,99.996773,99.990791,99.41954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.213318,99.20433,96.904236,99.265564,96.966385,98.159164,99.559402,99.200027,99.461601,99.243126,99.233986,99.596581,98.099411,99.29422,79.764587,97.720001,79.815392,99.327377,98.144043,99.267624,98.133835,80.00293,99.294411,99.262192,99.293045,99.254242,96.931366,99.123871,99.243996,99.231949,98.059769,97.708649,99.364502,98.112762,99.351151,99.195,99.163818,99.340881,99.326462,99.280632,99.160141,0,0,0,99.177948,99.372208,99.441849,99.419296,99.996353,99.314804,99.28788,99.405029,99.295959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.823776,98.116013,96.642487,98.164978,96.698265,98.779678,98.078896,98.14138,98.046417,98.203018,98.127274,98.181473,98.750595,98.179001,79.372757,97.159729,79.431992,98.15696,98.728073,98.103409,98.756302,80.049927,98.180115,98.19693,98.170288,98.091393,96.652802,98.192795,98.096504,98.138504,98.771622,97.173355,98.298676,98.869499,98.254395,98.031746,98.05143,98.231728,98.232269,98.241135,98.213303,0,0,0,98.179169,98.209244,98.231644,98.210114,98.126053,98.202942,98.23642,98.220718,98.213989,98.153481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.817657,98.104675,96.634628,98.142754,96.651657,98.748268,98.116653,98.097794,98.059174,98.149101,98.094543,98.147873,98.714378,98.239075,79.621048,97.114754,79.635155,98.182419,98.753693,98.097549,98.76413,80.12912,98.142273,98.165993,98.143753,98.077164,96.705284,98.154541,98.14563,98.096848,98.734131,97.164688,98.342392,98.868347,98.228699,98.020576,98.031517,98.202347,98.248459,98.223816,98.145065,0,0,0,98.176697,98.284561,98.25161,98.206573,98.210526,98.238632,98.260185,98.176956,98.25946,98.173401,99.956024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.047256,99.852333,96.788956,99.449524,96.811661,98.037941,99.301735,99.753258,99.278183,99.279892,99.757446,99.384514,97.995026,99.495834,79.841156,97.538315,79.84362,99.814354,98.01506,99.235672,97.972084,80.037842,99.765549,99.74234,99.756271,99.364174,96.801865,99.748085,99.80983,99.607025,97.941315,97.599487,99.394234,97.981979,99.339203,99.335075,99.344109,99.262894,99.312561,99.331436,99.263458,0,0,0,99.263977,99.798218,99.371712,99.319183,99.333229,99.834709,99.814087,99.344193,99.913765,99.276108,98.131058,98.120781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.044632,99.283455,96.736122,99.697571,96.779083,97.96933,99.2873,99.323135,99.202881,99.232185,99.385162,99.352562,97.956856,99.684189,79.838715,97.535843,79.856804,99.216904,97.977173,99.298996,97.947197,80.125977,99.30587,99.321884,99.336151,99.264053,96.788383,99.237732,99.187248,99.233696,97.962868,97.432587,99.349037,97.962021,99.239685,99.234726,99.217384,99.260925,99.241409,99.257004,99.245949,0,0,0,99.202026,99.353439,99.32843,99.217255,99.275299,99.401855,99.385544,99.227463,99.478439,99.241104,98.063507,98.041817,99.38028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.080704,97.543121,98.465355,97.75988,98.519882,97.121429,97.602524,97.60836,97.600708,97.585632,97.6138,97.665558,97.050186,97.701866,79.222168,99.874245,79.344894,97.602158,97.014877,97.787224,97.035721,79.926743,97.586197,97.612503,97.601593,97.732109,98.517578,97.506683,97.534515,97.621872,97.042747,99.876305,97.824699,97.094894,97.677658,97.71553,97.690796,97.714348,97.683487,97.693558,97.578049,0,0,0,97.621902,97.671906,97.705093,97.67012,97.689445,97.629265,97.617317,97.610382,97.730721,97.753967,97.094803,97.133911,97.657318,97.583725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.164139,99.18222,96.830444,99.22171,96.819252,98.103691,99.197357,99.15654,99.117508,99.362312,99.158752,99.292648,97.968201,99.175888,79.63723,97.615822,79.603622,99.178436,98.034729,99.148895,98.00267,79.988983,99.176582,99.195297,99.179337,99.260658,96.826309,99.018867,99.186035,99.133896,97.997673,97.573158,99.236633,97.939919,99.258278,98.97496,99.016754,99.262581,99.235535,99.262093,99.38913,0,0,0,99.338165,99.170242,99.221405,99.13623,99.225967,99.225716,99.221603,99.207474,99.344421,99.208115,98.061554,98.043045,99.213791,99.15976,97.631561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.071106,97.541199,98.525749,97.748146,98.493019,97.131729,97.645294,97.645065,97.578415,97.615707,97.659119,97.724655,97.0317,97.696228,79.197998,99.845917,79.268875,97.572433,96.996719,97.817749,97.072708,80.008072,97.615936,97.632256,97.628708,97.685547,98.548019,97.642815,97.511826,97.675926,97.04023,99.879654,97.821716,97.074738,97.637177,97.712708,97.723328,97.660843,97.634949,97.650703,97.582603,0,0,0,97.603836,97.622696,97.725151,97.686523,97.697762,97.603638,97.62191,97.687805,97.719955,97.740372,97.094246,97.103912,97.631546,97.609879,99.977829,97.659683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.10965,99.142242,96.767609,99.367844,96.825912,98.062195,99.187851,99.251419,99.068527,99.497559,99.28154,99.280182,98.038025,99.334923,79.729065,97.586861,79.715065,99.068954,98.013092,99.241028,98.008438,79.986397,99.222954,99.226334,99.198944,99.278809,96.775589,99.205635,98.995667,99.089027,98.003922,97.614227,99.262253,97.976807,99.319107,99.048332,99.024948,99.282303,99.294479,99.274811,99.525536,0,0,0,99.495422,99.194427,99.290535,99.18,99.242523,99.249115,99.246506,99.229355,99.330338,99.20903,98.139717,98.171738,99.228264,99.250702,97.626671,99.486664,97.578064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.062576,99.296249,96.722954,99.686127,96.718689,98.074272,99.307732,99.325333,99.159325,99.193909,99.346527,99.333549,97.98243,99.671402,79.777832,97.574448,79.793945,99.262161,97.980049,99.244339,97.986519,80.042747,99.27951,99.236809,99.239166,99.255066,96.729256,99.057602,99.236252,99.216782,97.983856,97.514923,99.289253,97.988464,99.256485,99.295761,99.192825,99.253235,99.260139,99.239777,99.198135,0,0,0,99.20871,99.33902,99.341064,99.225212,99.299599,99.323471,99.315536,99.211082,99.445938,99.306152,98.046677,98.025787,99.345818,99.993591,97.634949,99.160141,97.617615,99.196426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.126175,99.452324,96.691376,99.581818,96.705757,98.107979,99.267075,99.387604,99.245514,99.358139,99.352211,99.299042,98.099823,99.577301,79.646065,97.759171,79.636078,99.48082,98.104324,99.406235,98.080658,80.102615,99.481644,99.491005,99.464752,99.408264,96.764984,99.492233,99.467072,99.443153,98.130417,97.706818,99.285927,98.101601,99.347595,99.457092,99.490883,99.360199,99.342941,99.366699,99.354172,0,0,0,99.357605,99.475632,99.309052,99.320465,99.234787,99.525772,99.499092,99.302696,99.518456,99.193642,98.144348,98.183647,99.501701,99.575821,97.833542,99.250687,97.74173,99.302078,99.544853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.129074,97.02729,98.125778,97.232475,98.160553,97.143494,96.996216,97.128174,97.00267,97.19046,97.151154,97.046341,96.981857,97.113541,79.599678,97.752213,79.609268,97.046722,97.015648,97.150406,97.062668,80.135704,97.115555,97.103394,97.084457,97.155594,98.139679,96.933533,96.96228,96.983383,97.01152,97.775116,97.19957,97.096436,97.191383,96.95845,96.924614,97.217972,97.140213,97.159302,97.157799,0,0,0,97.147484,97.149597,97.22406,97.124542,97.168221,97.111465,97.082611,97.111496,97.144028,97.228271,97.232422,97.21537,97.183762,97.047424,97.812378,97.189438,97.786713,97.148651,97.075485,97.234589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.016052,97.064331,98.065781,97.177368,98.061737,97.102173,97.014603,97.064056,96.991333,97.194771,97.156624,97.067131,96.980072,97.115074,79.351418,97.712402,79.383797,97.066284,97.002701,97.149597,96.983124,79.961685,97.141151,97.100937,97.116196,97.128326,98.066193,96.961426,96.949234,96.978355,96.982498,97.719757,97.210846,97.055122,97.144775,96.886444,96.885574,97.162178,97.095291,97.116371,97.17662,0,0,0,97.161186,97.148117,97.184982,97.125893,97.103287,97.105484,97.087631,97.073853,97.180016,97.190628,97.219177,97.218254,97.182167,97.020294,97.750381,97.196136,97.752426,97.134827,97.068443,97.17514,99.946632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.801453,78.792068,78.80899,78.615234,78.777969,78.903885,78.822861,78.685654,78.818085,78.761108,78.868973,78.798088,78.736633,78.701401,79.439865,78.559204,79.442978,78.803665,78.68174,78.717148,78.80088,78.99968,78.830276,78.909866,78.775459,78.758957,78.783524,78.856865,78.752182,78.812134,78.718185,78.596436,78.810341,78.655029,78.917099,78.638367,78.711716,78.993347,78.988327,78.960358,78.749947,0,0,0,78.747971,78.777145,78.809975,78.859772,78.901711,78.829208,78.796577,78.827644,78.800941,78.787323,78.83963,78.833542,78.868469,78.798737,78.608505,78.767609,78.646828,78.769974,78.810898,78.76622,78.649887,78.604492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.333145,79.57254,79.714714,79.609787,79.713242,79.35656,79.311394,79.626991,79.35807,79.520966,79.593864,79.281403,79.157166,79.395714,99.110565,79.46582,99.096497,79.545799,79.149902,79.655334,79.377388,79.862732,79.798149,79.739037,79.713303,79.625381,79.646172,79.741745,79.525314,79.498978,79.185905,79.373764,79.468246,79.100372,79.791428,79.476639,79.466156,79.815994,79.748871,79.803658,79.531769,0,0,0,79.452995,79.55825,79.710495,79.797089,79.647614,79.501419,79.571701,79.711655,79.513,79.708359,79.461304,79.479935,79.721115,79.709305,79.246262,79.470108,79.266891,79.700523,79.588654,79.605629,79.446045,79.274765,79.416595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.993607,99.384506,96.75547,99.429657,96.786331,98.046143,99.317581,99.352295,99.39032,99.250893,99.376633,99.361801,97.99762,99.397522,79.735359,97.627731,79.735077,99.324318,98.035629,99.21669,97.986488,80.132019,99.302628,99.303932,99.293655,99.441025,96.802826,99.282349,99.235176,99.184746,97.997215,97.601852,99.328773,98.064148,99.290009,99.117569,99.072861,99.321823,99.299507,99.315857,99.276871,0,0,0,99.242035,99.451462,99.338371,99.249893,99.332787,99.436188,99.447601,99.236008,99.492905,99.312454,98.087128,98.130142,99.47084,99.165596,97.603256,99.197212,97.568344,99.117798,99.175262,99.382751,97.130676,97.118271,78.825447,79.541824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.045143,99.425285,96.77594,99.44632,96.800789,98.086502,99.276474,99.398422,99.393326,99.197296,99.404137,99.343338,98.034325,99.415367,79.749519,97.62326,79.799179,99.340775,98.025795,99.191788,98.026642,80.082306,99.351814,99.288635,99.322495,99.382156,96.768219,99.287971,99.286369,99.27095,98.015961,97.643311,99.332428,98.057022,99.302429,99.182343,99.226746,99.334152,99.325485,99.36116,99.174248,0,0,0,99.167633,99.477097,99.364914,99.267868,99.327461,99.491478,99.460411,99.272552,99.497971,99.30555,98.116821,98.128265,99.469833,99.209076,97.661499,99.208221,97.617554,99.138222,99.20993,99.383514,97.155617,97.105934,78.956055,79.724113,0,99.944778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.841896,98.137665,96.625076,98.165192,96.667236,98.784882,98.082275,98.141731,98.07251,98.141167,98.096329,98.145027,98.770584,98.205284,79.436325,97.154732,79.4972,98.145813,98.762909,98.13974,98.693527,80.174644,98.177826,98.169815,98.150459,98.122284,96.666412,98.169609,98.116425,98.130585,98.805847,97.209496,98.340134,98.894592,98.230858,98.086494,98.099106,98.235336,98.260895,98.25631,98.175209,0,0,0,98.177139,98.179558,98.220299,98.213669,98.167465,98.226112,98.22583,98.194618,98.237244,98.148628,99.974899,99.960785,98.143501,98.006142,97.094093,98.079391,97.152336,98.153572,98.04174,98.153046,97.22155,97.24231,78.913017,79.501099,0,98.157944,98.196388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98.832901,98.073639,96.572861,98.043747,96.586533,98.806778,98.060814,97.943573,98.013123,98.065125,97.953537,98.07428,98.716011,97.996826,79.479843,97.005081,79.554321,98.049583,98.796936,97.974785,98.763733,79.880798,98.07254,98.006943,97.997375,98.045486,96.60054,98.035538,98.016136,97.979507,98.733978,97.023735,98.232086,98.759483,98.077301,97.927353,97.934288,97.985519,98.025993,98.043816,98.073784,0,0,0,98.077423,98.040024,98.122757,98.048164,98.100449,98.030716,98.059738,98.079773,98.066086,98.094597,99.421928,99.389915,98.031113,98.018906,97.030334,97.976448,97.061523,97.955948,97.956497,98.040268,97.124504,97.13768,78.708832,79.312233,0,98.120316,98.10202,99.392731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.514252,79.657402,79.715958,79.535309,79.74955,79.525726,79.473267,79.609131,79.518295,79.483017,79.601608,79.417923,79.405602,79.483856,97.319672,79.662704,97.332649,79.669937,79.527878,79.606171,79.577255,79.765739,79.577301,79.628494,79.582809,79.670464,79.685516,79.626404,79.587044,79.606796,79.517044,79.653961,79.20517,79.486275,79.539795,79.689362,79.580063,79.522545,79.484253,79.530579,79.488327,0,0,0,79.508858,79.580994,79.541031,79.613464,79.465668,79.577118,79.578468,79.640167,79.439423,79.612778,79.384697,79.53833,79.557205,79.591415,79.450287,79.454453,79.454865,79.520676,79.572563,79.546021,79.588814,79.373306,79.215591,97.443573,0,79.52243,79.522934,79.441254,79.432404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
